,0
6442,0.003
7623,0.003
4359,0.003
9571,0.003
4368,0.003
9444,0.003
9831,0.003
6420,0.003
6417,0.003
4385,0.003
8561,0.003
8072,0.003
8581,0.003
1828,0.003
5887,0.003
5906,0.003
5320,0.003
7856,0.003
5323,0.003
5903,0.003
5901,0.003
1660,0.003
768,0.003
9706,0.003
1661,0.003
5343,0.003
5870,0.003
5311,0.003
7865,0.003
792,0.003
1699,0.003
1544,0.003
7941,0.003
815,0.003
5609,0.003
5615,0.003
5463,0.003
7932,0.003
7988,0.003
5313,0.003
5617,0.003
5305,0.003
5249,0.003
1824,0.003
1822,0.003
790,0.003
1817,0.003
8052,0.003
5364,0.003
1862,0.003
5819,0.003
5360,0.003
223,0.003
8147,0.003
5487,0.003
8058,0.003
5920,0.003
7852,0.003
7839,0.003
9710,0.003
1656,0.003
5917,0.003
1903,0.003
1654,0.003
5264,0.003
7843,0.003
4665,0.002
4686,0.002
4666,0.002
2114,0.002
4671,0.002
4811,0.002
2123,0.002
4675,0.002
2108,0.002
4684,0.002
4936,0.002
4689,0.002
79,0.002
80,0.002
9791,0.002
78,0.002
2066,0.002
2065,0.002
2062,0.002
9802,0.002
2022,0.002
4713,0.002
2076,0.002
4643,0.002
4773,0.002
4740,0.002
4741,0.002
4748,0.002
4750,0.002
4753,0.002
4765,0.002
4766,0.002
4769,0.002
4770,0.002
4776,0.002
2126,0.002
2017,0.002
2075,0.002
4795,0.002
4803,0.002
4808,0.002
4730,0.002
4720,0.002
4717,0.002
4715,0.002
2019,0.002
4988,0.002
4950,0.002
4952,0.002
4919,0.002
2046,0.002
4873,0.002
4876,0.002
2042,0.002
4882,0.002
9767,0.002
4887,0.002
4904,0.002
9764,0.002
4869,0.002
5002,0.002
4632,0.002
2137,0.002
4380,0.002
2242,0.002
9827,0.002
4390,0.002
9483,0.002
4397,0.002
2231,0.002
2047,0.002
4862,0.002
4853,0.002
4989,0.002
4956,0.002
9757,0.002
4932,0.002
4972,0.002
4976,0.002
4978,0.002
4981,0.002
4985,0.002
2230,0.002
9752,0.002
2052,0.002
4995,0.002
2006,0.002
4634,0.002
4923,0.002
4912,0.002
4830,0.002
4834,0.002
4846,0.002
9770,0.002
2092,0.002
7889,0.002
1602,0.002
8348,0.002
8394,0.002
8392,0.002
8890,0.002
8891,0.002
8894,0.002
7554,0.002
7911,0.002
8869,0.002
7894,0.002
8415,0.002
8435,0.002
7586,0.002
627,0.002
8851,0.002
8423,0.002
443,0.002
7581,0.002
7888,0.002
8417,0.002
441,0.002
8861,0.002
8395,0.002
848,0.002
8871,0.002
686,0.002
7451,0.002
4411,0.002
7449,0.002
7446,0.002
8006,0.002
7445,0.002
244,0.002
9017,0.002
7443,0.002
203,0.002
9339,0.002
974,0.002
405,0.002
658,0.002
8873,0.002
8414,0.002
854,0.002
8878,0.002
8884,0.002
641,0.002
633,0.002
7890,0.002
439,0.002
9271,0.002
1000,0.002
653,0.002
8374,0.002
7539,0.002
7922,0.002
8368,0.002
8367,0.002
7923,0.002
7925,0.002
7927,0.002
8926,0.002
8365,0.002
7533,0.002
9348,0.002
7931,0.002
8919,0.002
840,0.002
8922,0.002
9399,0.002
8924,0.002
407,0.002
408,0.002
438,0.002
656,0.002
9272,0.002
205,0.002
7549,0.002
8899,0.002
8377,0.002
7524,0.002
227,0.002
228,0.002
7523,0.002
7945,0.002
8934,0.002
8930,0.002
835,0.002
8351,0.002
7520,0.002
9395,0.002
9394,0.002
7518,0.002
7517,0.002
1001,0.002
2226,0.002
1800,0.002
4424,0.002
5460,0.002
1768,0.002
5639,0.002
5640,0.002
5644,0.002
5649,0.002
9674,0.002
5650,0.002
9667,0.002
5662,0.002
5666,0.002
1758,0.002
1756,0.002
1751,0.002
9664,0.002
5691,0.002
5655,0.002
5358,0.002
1775,0.002
5606,0.002
5542,0.002
1798,0.002
9672,0.002
5632,0.002
9673,0.002
5416,0.002
5362,0.002
9702,0.002
5374,0.002
1856,0.002
5380,0.002
5383,0.002
5392,0.002
1848,0.002
5412,0.002
5417,0.002
5541,0.002
5418,0.002
5426,0.002
5442,0.002
9690,0.002
5449,0.002
9689,0.002
5413,0.002
5538,0.002
5539,0.002
5550,0.002
1797,0.002
5556,0.002
96,0.002
5118,0.002
5123,0.002
5128,0.002
5129,0.002
1955,0.002
5136,0.002
5139,0.002
5154,0.002
5158,0.002
5076,0.002
9728,0.002
5075,0.002
1977,0.002
5014,0.002
9747,0.002
5017,0.002
1990,0.002
1985,0.002
7253,0.002
9005,0.002
5114,0.002
1962,0.002
5557,0.002
1783,0.002
5561,0.002
5569,0.002
5618,0.002
5578,0.002
5584,0.002
5589,0.002
5591,0.002
5592,0.002
5593,0.002
5599,0.002
5105,0.002
1781,0.002
5582,0.002
5009,0.002
5357,0.002
9704,0.002
1973,0.002
5087,0.002
9731,0.002
5104,0.002
5459,0.002
5462,0.002
4425,0.002
5467,0.002
2253,0.002
4347,0.002
4348,0.002
4362,0.002
4311,0.002
4458,0.002
4476,0.002
2198,0.002
4565,0.002
9811,0.002
4569,0.002
2160,0.002
4574,0.002
9810,0.002
4576,0.002
4587,0.002
2165,0.002
4589,0.002
2151,0.002
4595,0.002
76,0.002
4344,0.002
4343,0.002
4329,0.002
4367,0.002
4427,0.002
4430,0.002
2217,0.002
4439,0.002
4443,0.002
2210,0.002
2243,0.002
4370,0.002
4369,0.002
2286,0.002
4323,0.002
4268,0.002
2282,0.002
4272,0.002
4273,0.002
4284,0.002
4288,0.002
4298,0.002
4452,0.002
4302,0.002
4601,0.002
4609,0.002
9804,0.002
1810,0.002
9835,0.002
9749,0.002
1992,0.002
1823,0.002
9688,0.002
5491,0.002
1815,0.002
5495,0.002
